Node ID,Degree,Modularity class,Betweenness centrality,Closeness centrality
"Jiang, Er Xiong",1,10,0,0.253919
"Kuo, Jun-Lin",1,10,0,0.253919
"Li, Guo Jun^1",1,10,0,0.253919
"Li, Yu Sheng^1",2,10,0.000005,0.258015
"Lin, Wen Song",1,10,0,0.253919
"Liu, Gui Zhen^1",4,10,0.000078,0.266858
"Liu, Jia Zhuang",1,10,0,0.253919
"Lu, Xin Zhong (Lu, X. C.)",2,10,0,0.255178
"Miao, Lian Ying",1,10,0,0.253919
"Poon, Kin-Keung",1,10,0,0.253919
"Popovich, L.",1,10,0,0.253919
"Seager, Suzanne M.",1,10,0,0.253919
"Shiu, Wai-Chee",2,10,0,0.255178
"Song, Zeng Min",1,10,0,0.253919
"Sun, Feng^1",2,10,0,0.255178
"Sun, Liang^1",2,10,0,0.255178
"Sun, Pak Kiu",1,10,0,0.253919
"Tam, Wing Ka",1,10,0,0.253919
"Tong, Chong Sze",1,10,0,0.253919
"Wang, Tao-Ming",1,10,0,0.253919
"Wei, Bing^1",6,9,0.000036,0.261675
"Wei, Bo Cheng",1,10,0,0.253919
"Wu, Jian Liang",3,10,0.00002,0.265164
"Wu, Jianzhuan",1,10,0,0.253919
"Wu, Qi-Guang",1,10,0,0.253919
"Xu, Bao Gang",1,10,0,0.253919
"Yan, Gui Ying",2,10,0,0.255178
"Yao, Tian Xing",1,10,0,0.253919
"Zhang, Fu Ji",1,10,0,0.253919
"Zhang, He Ping^2",1,10,0,0.253919
"Zhang, Lian Zhu",1,10,0,0.253919
"Zhang, Xiang-sun",1,10,0,0.253919
"Zhou, Guo Fei^1",1,10,0,0.253919
"Zhou, Haiying",1,10,0,0.253919
"Fan, Cong",3,10,0,0.257831
"Chen, William Y. C.",2,9,0.000014,0.257032
"Hu, Jian",1,10,0,0.25402
"Kang, Qingde",1,10,0,0.25402
"Kountanis, Dionysios I.",3,10,0.000001,0.258536
"Kreher, Donald L.",7,3,0.000061,0.267446
"Lai, Yung-Ling",1,10,0,0.25402
"Li, Cui",1,10,0,0.25402
"Liu, Jian^10",1,10,0,0.25402
"Liu, Xiao Dong^3",1,10,0,0.25402
"Tian, Haiyan",1,10,0,0.25402
"Wang, Larry X. W.",1,10,0,0.25402
"Wang, Mingyu",1,10,0,0.25402
"Westlund, Erik E.",1,10,0,0.25402
"Yang, Wenbo",1,10,0,0.25402
"Im, Carl J. C.",1,10,0,0.253903
"Iosifescu, Marius",3,3,0.00001,0.257503
"Kane, Gordon L.",1,10,0,0.253903
"Grassl, Richard M.",2,10,0,0.260858
"Johnson, Karen Anne",3,10,0,0.262443
"Poh, Roger Kheng Siong",4,10,0.000005,0.260746
"Bullock, Frank",2,10,0,0.260234
"Caceres, Jose",1,10,0,0.257825
"Carson, David Ian",1,10,0,0.257825
"Currie, James D.",2,3,0.000023,0.26174
"Day, David P.",5,10,0,0.263697
"Dlamini, Gcina",2,10,0,0.258177
"Esfahanian, Abdol-Hossein",1,10,0,0.257825
"Fehr, Melodie",1,10,0,0.257825
"Fricke, Gerd Heinz",9,10,0.000031,0.266617
"Gonzalez Yero, Ismael",1,10,0,0.257825
"Gosselin, Shonda",1,10,0,0.257825
"Hind, Hugh Robert Faulkner",4,10,0.000028,0.272889
"Katrenic, Peter",1,10,0,0.257825
"Kuziak, Dorota",1,10,0,0.257825
"Lafrance, Philip",1,10,0,0.257825
"Marquez Perez, Alberto",1,10,0,0.257825
"May, Teresa R.",1,10,0,0.257825
"Nielsen, Morten Hegner",2,10,0,0.260234
"Pawluck, Charlene D.",1,10,0,0.257825
"Peters-Fransen, Joel",1,10,0,0.257825
"Phillips, Stephanie",1,10,0,0.257825
"Pressey, Timothy",1,10,0,0.257825
"Puertas, Maria Luz",1,10,0,0.257825
"Ramirez-Cruz, Yunior",1,10,0,0.257825
"Rodriguez-Velazquez, Juan Alberto",1,10,0,0.257825
"Stokke, Anna",1,10,0,0.257825
"Ash, Andrew",2,8,0,0.258189
"Craft, David Lee",1,10,0,0.256729
"Deo, Narsingh",3,10,0.000026,0.268711
"Ellzey, M. Lawrence, Jr.",1,10,0,0.256729
"Herndon, William C.",1,10,0,0.256729
"Khazad, Ashhiah",1,10,0,0.256729
"Kimble, Robert J., Jr.",1,10,0,0.256729
"Krarup, Jakob",2,10,0,0.267037
"Mallion, Roger Blakeney",3,10,0.000017,0.267682
"Manvel, Bennet",6,10,0.000333,0.283872
"McMurry, Timothy Lewis",2,8,0,0.258189
"Meyerowitz, Aaron D.",2,3,0.000002,0.258832
"Mowshowitz, Abbe",2,10,0,0.267037
"Munro, J. Ian",1,10,0,0.256729
"Narayan, Darren A.",3,10,0.000008,0.259129
"O'Neil, Peter V.",2,10,0,0.267037
"Read, Ronald Cedric",9,10,0.000166,0.280454
"Scott, Robert L.",2,10,0,0.267037
"Stockmeyer, Paul K.",3,10,0.000021,0.26808
"Trinajstic, Nenad",1,10,0,0.256729
"Watanabe, Mamoru",1,10,0,0.256729
"Chen, Bor-Liang",1,10,0,0.254918
"Chen, Chuan Ping",1,10,0,0.254918
"Chen, Ci Ping",1,10,0,0.254918
"Chen, Jing Fa",1,10,0,0.254918
"Chen, Xiang En",1,10,0,0.254918
"Christakos, George",1,10,0,0.254918
"Fan, Guimei",1,10,0,0.254918
"Gong, Kun",1,10,0,0.254918
"Guo, Xi Bo (Kuo, Hsi Po)",1,10,0,0.254918
"Hu, Wen Feng",1,10,0,0.254918
Jirimutu,1,10,0,0.254918
"Ku, Tung-Hsin",1,10,0,0.254918
"Lee, Tony T.",1,10,0,0.254918
"Li, Haizhu",1,10,0,0.254918
"Li, Hong Xiang",1,10,0,0.254918
"Li, Jing Wen^3",1,10,0,0.254918
"Li, Ming Chu",1,10,0,0.254918
"Li, Yinzhen^2",1,10,0,0.254918
"Li, Yu Qiang",1,10,0,0.254918
"Li, Zheng Liang",1,10,0,0.254918
"Li, Zhong Xiang",1,10,0,0.254918
"Liu, Lin Zhong^2",1,10,0,0.254918
"Lo, Terry Y.",1,10,0,0.254918
"Matsumoto, Makoto^2",3,10,0.000025,0.269477
"Pan, Jiaofeng",1,10,0,0.254918
"Pang, W.",1,10,0,0.254918
"Ren, Zhi Guo^1",1,10,0,0.254918
"Tang, Ting Zai",1,10,0,0.254918
"Tokuda, Taro",1,10,0,0.254918
"Wang, Chao Rui",1,10,0,0.254918
"Wang, Fu Da",1,10,0,0.254918
"Wang, Liu Xing",1,10,0,0.254918
"Wang, Wei Fan",1,10,0,0.254918
"Wong, Chak Kuen",2,10,0.000026,0.257296
"Wu, Ju Lin",1,10,0,0.254918
"Xiong, Li Ming",1,10,0,0.254918
"Xu, Bao Gen",1,10,0,0.254918
"Xu, Baoguang",2,10,0.000001,0.25584
"Xu, Jin^2",1,10,0,0.254918
"Yap, Hian Poh",1,10,0,0.254918
"Yuan, Jin Jiang",2,10,0.000008,0.258588
"Zhang, Jian Xun",1,10,0,0.254918
"Zhao, Chuan Cheng",1,10,0,0.254918
"Zhou, Sanming",3,10,0.00005,0.268698
"Zhou, Yong Sheng",1,10,0,0.254918
"Zhu, Yong Jin",1,10,0,0.254918
"Berkovich, Alexander",1,10,0,0.2534
"Grinstead, Charles M.",2,10,0.000002,0.267371
"Robinson, Michael L.",1,10,0,0.2534
"Shannon, Anthony G.",1,10,0,0.2534
"Solomon, Ronald Mark",3,10,0.00001,0.262479
"Turull, Alexandre",2,10,0.000002,0.258977
"Cheema, Mohinder Singh",2,3,0.000002,0.254716
"Fein, Burton",1,10,0,0.254199
"Fraser, Owen H.",1,10,0,0.254199
"Friedlander, Richard J.",1,10,0,0.254199
"Houten, Lorne",1,10,0,0.254199
"Hughes, Kimball Newton",1,10,0,0.254199
"McIntosh, Richard J.",1,10,0,0.254199
"Miller, Michael D.",1,10,0,0.254199
"Paulsen, Frank",1,10,0,0.254199
"Robertson, M. M.",1,10,0,0.254199
"Robins, Sinai",1,10,0,0.254199
"Sinor, Dale",1,10,0,0.254199
"Tannenbaum, Peter",1,10,0,0.254199
"Welch, Lloyd R.",2,10,0.000008,0.256278
"Alexanderson, Gerald L.",1,10,0,0.254761
"Anaya, Janet Crump",1,10,0,0.254761
"Bergum, Gerald E.",4,10,0.000002,0.260575
"Bicknell-Johnson, Marjorie",1,10,0,0.254761
"Brown, John L., Jr.",1,10,0,0.254761
"Bruckman, Paul S.",1,10,0,0.254761
"Chow, Bob",1,10,0,0.254761
"Cox, Nannette",1,10,0,0.254761
"Davis, Basil Sebastian",1,10,0,0.254761
"Edgar, Hugh Maxwell",1,10,0,0.254761
"Eves, Howard W.",1,10,0,0.254761
"Fielder, Daniel C.",1,10,0,0.254761
"Gould, Henry Wadsworth",2,10,0.000004,0.255246
"Hillman, Abraham P.",1,10,0,0.254761
"Junge, Bjarne",1,10,0,0.254761
"Kim, Jin Bai",1,10,0,0.254761
"King, Ellen L.",1,10,0,0.254761
"Kramer, Judith H.",1,10,0,0.254761
"Leonard, H. T., Jr.",1,10,0,0.254761
"Lind, Douglas A.",1,10,0,0.254761
"Long, Calvin T.",1,10,0,0.254761
"Owens, Margaret Ann",1,10,0,0.254761
"Peterson, Brian L.",1,10,0,0.254761
"Phillips, John W.",1,10,0,0.254761
"Sarsfield, Richard",1,10,0,0.254761
"Scoville, Richard",1,10,0,0.254761
"Silva, Anne",1,10,0,0.254761
"Smith, Claudia",1,10,0,0.254761
"Wagner, William J.",1,10,0,0.254761
"Weinshenk, R. J.",1,10,0,0.254761
"Allcock, Daniel",1,3,0,0.253445
"Barton, Jeffrey T.",2,3,0,0.255048
"Bennett, Colin",1,3,0,0.253445
"Borwein, Peter B.",3,8,0.000012,0.258287
"Bump, Daniel",2,3,0.000022,0.256895
"Burger, Edward Bruce",1,3,0,0.253445
"Carneiro, Emanuel",1,3,0,0.253445
"Chern, Shey-Jey",1,3,0,0.253445
"Choi, Kwok-Kwong Stephen",1,3,0,0.253445
"Gerth, Frank, III",3,3,0,0.254682
"Hall, Marshall, Jr.",4,3,0.000015,0.258333
"Haynes, Alan K.",1,3,0,0.253445
"Holt, Jeffrey J.",3,3,0.000005,0.262258
"Le, Thai Hoang",1,3,0,0.253445
"Li, Xian-Jin",1,3,0,0.253445
"Littmann, Friedrich",1,3,0,0.253445
"Masser, David William",1,3,0,0.253445
"McKemie, M. Jean",1,3,0,0.253445
"Mossinghoff, Michael J.",1,3,0,0.253445
"O'Leary, Robbin",1,3,0,0.253445
"Pinner, Christopher G.",1,3,0,0.253445
"Rodriguez-Villegas, Fernando",1,3,0,0.253445
"Rudnick, Karl",1,3,0,0.253445
"Sinclair, Christopher D.",1,3,0,0.253445
"Struppeck, Thomas",1,3,0,0.253445
"Toledano, Ricardo",1,3,0,0.253445
"Van der Poorten, Alfred Jacobus",8,3,0.000119,0.261473
"Voloch, Jose Felipe",1,3,0,0.253445
"Widmer, Martin",1,3,0,0.253445
"Abam, Mohammad Ali",1,10,0,0.258177
"Andrzejak, Artur",1,10,0,0.258177
"Asano, Tetsuo",2,10,0.000006,0.259964
"Aurenhammer, Franz",2,10,0.000005,0.260269
"Bose, Prosenjit",3,10,0.000023,0.26174
"Bronnimann, Herve",2,10,0,0.265067
"Carmi, Paz",1,10,0,0.258177
"Chan, Timothy M. Y.",1,10,0,0.258177
"Chang, Allen Y.",1,10,0,0.258177
"Chazelle, Bernard M.",3,10,0,0.265293
"Chiang, Yi-Jen",1,10,0,0.258177
"Davis, Alan R.",1,10,0,0.258177
"de Berg, Mark T.",1,10,0,0.258177
"de Jong, Tom",1,10,0,0.258177
"Dey, Tamal Krishna",2,10,0,0.265067
"Driemel, Anne",1,10,0,0.258177
"Dulieu, Muriel",1,10,0,0.258177
"Efrat, Alon",1,10,0,0.258177
"Eppstein, David",2,10,0.000006,0.259964
"Ezra, Esther (Eti)",2,10,0,0.265067
"Fortune, Steven J.",1,10,0,0.258177
"Funke, Stefan",1,10,0,0.258177
"Garijo, Delia",2,10,0.000014,0.269836
"Goaoc, Xavier",1,10,0,0.258177
"Goodman, Jacob Eli",3,10,0,0.265293
"Gray, Christopher Miles",1,10,0,0.258177
"Gudmundsson, Joachim",1,10,0,0.258177
"Haverkort, Herman J.",1,10,0,0.258177
"Hoffmann, Friedrich",1,10,0,0.258177
"Hubard, Alfredo",1,10,0,0.258177
"Hurtado, Ferran",3,10,0.000023,0.26174
"Iacono, John",1,10,0,0.258177
"Jansen, Bart Maarten Paul",1,10,0,0.258177
"Karasev, Roman N.",1,10,0,0.258177
"Katoh, Naoki",3,10,0.000065,0.266654
"Katz, Matthew J.",1,10,0,0.258177
"Khosravi, Amirali",1,10,0,0.258177
"Kikuchi, Yosuke",2,10,0.000008,0.259654
"Koltun, Vladlen",1,10,0,0.258177
"Kosaraju, S. Rao",1,10,0,0.258177
"Langerman, Stefan False Swarzberg",2,10,0.000005,0.260269
"Loffler, Maarten",2,10,0,0.265067
"Luo, Jin",1,10,0,0.258177
"Luo, Jun^5",1,10,0,0.258177
"Mehlhorn, Kurt",2,10,0.000038,0.260534
"Moroz, Guillaume",1,10,0,0.258177
"Mumford, Elena",1,10,0,0.258177
"Naiman, Daniel Q.",2,10,0,0.265067
"Nandy, Subhas Chandra",1,10,0,0.258177
"Nunez-Rodriguez, Yurai",1,10,0,0.258177
"O'Rourke, Joseph",1,10,0,0.258177
"Ozkan, Ozgur",1,10,0,0.258177
"Pal, Sudebkumar Prasant",1,10,0,0.258177
"Pellegrini, Marco^1",1,10,0,0.258177
"Phillips, Jeff M.",1,10,0,0.258177
"Prasad, D. Chithra",1,10,0,0.258177
"Rappaport, David",2,10,0.000008,0.259654
"Roeloffzen, Marcel",1,10,0,0.258177
"Sasahara, Shinji",1,10,0,0.258177
"Schevon, Catherine A.",1,10,0,0.258177
"Schiffenbauer, Robert",1,10,0,0.258177
"Seara, Carlos",1,10,0,0.258177
"Seidel, Raimund",4,10,0.000009,0.266297
"Silveira, Rodrigo I.",2,10,0.000005,0.260269
"Smid, Michiel H. M.",1,10,0,0.258177
"Snoeyink, Jack Scott",4,10,0.000009,0.266297
"Souvaine, Diane L.",2,10,0.000005,0.260269
"Staals, Frank",1,10,0,0.258177
"Svestka, Petr",1,10,0,0.258177
"Tagansky, Boaz",1,10,0,0.258177
"Teichmann, Marek",1,10,0,0.258177
"Thite, Shripad",1,10,0,0.258177
"Tokuyama, Takeshi",2,10,0,0.265067
"Uno, Takeaki",1,10,0,0.258177
"Urrutia, Jorge",3,4,0.000067,0.26321
"van der Stappen, A. Frank",1,10,0,0.258177
"van Kreveld, Marc J.",2,10,0,0.265067
"van Oostrum, Rene",1,10,0,0.258177
"Varadarajan, Kasturi R.",1,10,0,0.258177
"Vigneron, Antoine",1,10,0,0.258177
"Vleugels, Jules",1,10,0,0.258177
"Wang, Yusu",1,10,0,0.258177
"Wenger, Rephael",4,10,0.000009,0.266297
"Wenk, Carola",1,10,0,0.258177
"Wilfong, Gordon T.",2,10,0.000023,0.266039
"Yagnatinsky, Mark V.",1,10,0,0.258177
"Yi, Ke",1,10,0,0.258177
"Yu, Albert Siu Cheong",1,10,0,0.258177
"Zhang, Li^6",1,10,0,0.258177
"Zhang, Wuzhou",1,10,0,0.258177
"Abramson, David",1,4,0,0.255653
"Aharoni, Dan",1,4,0,0.255653
"Aharoni, Gad",1,4,0,0.255653
"Aharoni, Moshe",1,4,0,0.255653
"Amar, Lior",1,4,0,0.255653
"Amir, Yair",1,4,0,0.255653
"Aron, Ellen",1,4,0,0.255653
"Ben-Natan, Ron",1,4,0,0.255653
"Ben-Nun, Tal",1,4,0,0.255653
"Borgstrom, Ryan Sean",1,4,0,0.255653
"Braverman, Avner",1,4,0,0.255653
"Cohen, Shem-Tov",1,4,0,0.255653
"Davidor, Yuval",1,4,0,0.255653
"Downey, Peter J.",2,10,0.000013,0.263564
"Enticott, Colin",1,4,0,0.255653
"Farber, Yaron",1,4,0,0.255653
"Garti, Dror",1,4,0,0.255653
"Gilderman, Ilia",1,4,0,0.255653
"Gitler, Daniel",1,4,0,0.255653
"Guday, Shai",1,4,0,0.255653
"Haban, Dieter",1,4,0,0.255653
"Hartig, Hermann",1,4,0,0.255653
"Karshmer, Artur I.",1,4,0,0.255653
"Keren, Arie",1,4,0,0.255653
"Kornatzky, Yoram",1,4,0,0.255653
"La'adan, Oren",1,4,0,0.255653
"Laor, Roy",1,4,0,0.255653
"Levy, Ely",1,4,0,0.255653
"Lieber, Matthias",1,4,0,0.255653
"Maoz, Tal",1,4,0,0.255653
"Maresky, Jonathan",1,4,0,0.255653
"Margolin, Alexander",1,4,0,0.255653
"Meiri, Ehud",1,4,0,0.255653
"Melman, Myron",1,4,0,0.255653
"Metrik, Igor",1,4,0,0.255653
"Mu'alem, Ahuva",1,4,0,0.255653
"Muller, David E.",1,4,0,0.255653
"Neumann, Dirk",1,4,0,0.255653
"Okun, Michael",1,4,0,0.255653
"Ronen, Amir",1,4,0,0.255653
"Rubin, Eri",1,4,0,0.255653
"Saylor, Paul E.",1,4,0,0.255653
"Schenfeld, Eugen",1,4,0,0.255653
"Shapir, Amos",1,4,0,0.255653
"Shiloh, Amnon",1,4,0,0.255653
"Shudler, Sergei",1,4,0,0.255653
"Snir, Marc",2,4,0.000012,0.258948
"Steinberg, Gabi",1,4,0,0.255653
"Stosser, Jochen",1,4,0,0.255653
"Szmit, Ricardo",1,4,0,0.255653
"Weinhold, Carsten",1,4,0,0.255653
"Wheeler, Richard G.",1,4,0,0.255653
"Wybranietz, Dieter",1,4,0,0.255653
"Anandkumar, Animashree",1,10,0,0.268161
"Arratia, Richard",1,10,0,0.268161
"Balister, Paul Neville",10,10,0.00001,0.280891
"Balla, Igor",1,10,0,0.268161
"Cutler, Jonathan Drew",1,10,0,0.268161
"Das, Gautam",1,10,0,0.268161
"Donadelli, Jair",3,10,0,0.271475
"Duminil-Copin, Hugo",1,10,0,0.268161
"Eccles, Tom",1,10,0,0.268161
"Eldridge, Stephen E.",1,10,0,0.268161
"Elkin, Michael",1,10,0,0.268161
"Fang, Zu Yao",1,10,0,0.268161
"Fenner, Trevor I.",1,10,0,0.268161
"Frank, Ove",2,10,0,0.275931
"Freeman, Walter J.",1,10,0,0.268161
"Galanis, Efstratios",1,10,0,0.268161
"Gamarnik, David",2,10,0.000003,0.269881
"Grimmett, Geoffrey R.",4,8,0.000031,0.270819
"Gunderson, Karen",2,10,0,0.270039
"Gunopulos, Dimitris",1,10,0,0.268161
"Harris, Andrew J.",2,10,0,0.26833
"Holmgren, Cecilia",2,10,0,0.270039
"Huang, Yi Ru",2,10,0,0.27045
"Jayawardene, Chula J.",2,10,0,0.27045
"Johnson, John Robert",2,10,0.000003,0.270812
"Karonski, Michal",5,10,0.000015,0.275661
"Kindler, Guy",2,10,0,0.271245
"Klee, Victor L., Jr.",6,10,0.000077,0.275912
"Kozma, Robert",1,10,0,0.268161
"Kumar, Santosh",2,10,0,0.26818
"Kun, Gabor^2",4,10,0.000025,0.27882
"Lackmann, Malte",1,10,0,0.268161
"Malvenuto, Claudia",1,10,0,0.268161
"Mannila, Heikki",1,10,0,0.268161
"Mitsche, Dieter",1,10,0,0.268161
"Morayne, Michal",4,10,0.00001,0.273082
"Nakprasit, Kittikorn",2,10,0,0.27152
"Nikiforov, Vladimir S.",4,10,0.000001,0.272225
"O'Donnell, Ryan",2,10,0,0.271245
"Papaioannou, Alexis",1,10,0,0.268161
"Partington, Jonathan R.",1,10,0,0.268161
"Pebody, Luke Thomas",1,10,0,0.268161
"Pritchard, David A. G.",1,10,0,0.268161
"Przykucki, Michal",2,10,0,0.270039
"Puljic, Marko",1,10,0,0.268161
"Quas, Anthony N.",2,5,0.000002,0.268542
"Radcliffe, Andrew J.",2,10,0.000003,0.268373
"Rasmussen, Steen",1,10,0,0.268161
"Rival, Ivan",8,10,0.000071,0.279598
"Rothvoss, Thomas",2,10,0.000005,0.274748
"Ryjacek, Zdenek",7,10,0.000043,0.276706
"Saito, Akira",9,10,0.000105,0.28085
"Schleicher, Dierk",1,10,0,0.268161
"Simon, Istvan",1,10,0,0.268161
"Smith, Paul James",1,10,0,0.268161
"Sorkin, Gregory B.",1,10,0,0.268161
"Stern, Nicholas",1,10,0,0.268161
"Tachibana, Shun-ichi",1,10,0,0.268161
"Thompson, John Griggs",3,3,0.000009,0.276249
"Tourlakis, Iannis",2,10,0,0.272392
"Tucker, Susan L.",1,10,0,0.268161
"Tyomkyn, Mykhaylo",2,10,0,0.274886
"Uzzell, Andrew J.",2,10,0,0.270039
"Varopoulos, Nicholas Th.",1,10,0,0.268161
"Weinreich, David Egon",1,10,0,0.268161
"Wierman, John C.",3,10,0.000007,0.274473
"Willsky, Alan Steven",1,10,0,0.268161
"Wilson, David Bruce",2,10,0,0.271622
"Woodall, Douglas R.",6,10,0.000091,0.277245
"Yang, Jian Sheng^2",2,10,0,0.27045
"Zhang, Ke Min^1",5,10,0.000024,0.276899
"Zhao, Yi^4",2,10,0.000004,0.269969
"Abel, Richard Julian Robert",2,10,0,0.26218
"AboElFotoh, Hosam M. F.",1,10,0,0.260852
"Aldaco, Abraham N.",1,10,0,0.260852
"Anderson, Ian",2,5,0.000027,0.261372
"Aurzada, Frank",1,10,0,0.260852
"Bai, Xiaoying",1,10,0,0.260852
"Ball, Michael O.",1,10,0,0.260852
"Bennett, Frank E.",3,10,0.000001,0.263113
"Bierbrauer, Jurgen",3,10,0.000025,0.269963
"Bigelow, David C.",1,10,0,0.260852
"Boffey, T. Brian",1,10,0,0.260852
"Booth, Kellogg S.",2,10,0.000048,0.264769
"Brecht, Timothy B.",1,10,0,0.260852
"Bruen, Aiden A.",3,10,0.000037,0.266802
"Bryce, Renee C. (Turban)",1,10,0,0.260852
"Bunt, Richard B.",1,10,0,0.260852
"Cameron, Robert D.",2,10,0,0.268074
"Carrasco, Eddy H.",1,10,0,0.260852
"Carter, Janine E.",3,10,0,0.262294
"Carter, Michael Walter",4,10,0.000136,0.264665
"Chan, Nigel H. N.",1,10,0,0.260852
"Chari, Manoj K.",1,10,0,0.260852
"Chateauneuf, Mark A.",2,10,0,0.261396
"Check, Paul Leslie",1,10,0,0.260852
"Chee, Yeow Meng",3,10,0.000001,0.264362
"Chen, Yinong",1,10,0,0.260852
"Chia, Gek Ling",1,10,0,0.260852
"Chu, Wensong",1,10,0,0.260852
"Coahran, Marge M.",1,10,0,0.260852
"Cohen, Myra B.",1,10,0,0.260852
"Collofello, James S.",1,10,0,0.260852
"Corneil, Derek Gordon",4,9,0.000189,0.267781
"Coudert, David",2,4,0.000036,0.263806
"Cui, Minghao",1,10,0,0.260852
"Curran, Donald Joseph",1,10,0,0.260852
"Cusack, Charles A.",2,3,0.000006,0.261835
"Danziger, Peter",2,10,0,0.261752
"Day, Robert Peter John",1,10,0,0.260852
"de la Torre, Douglas R.",1,10,0,0.260852
"De Resmini, Marialuisa J.",4,10,0.000058,0.265183
"Debroni, Bradley M.",1,10,0,0.260852
"Devitt, John Stanley",4,3,0.000048,0.268611
"Dinitz, Jeffrey H.",6,10,0.000186,0.28237
"Dukes, Peter J.",3,10,0.000002,0.263583
"El-Mallah, Ehab S.",1,10,0,0.260852
"Elbert, Michael A.",1,10,0,0.260852
"Farley, Toni R.",1,10,0,0.260852
"Forbes, Anthony D.",1,10,0,0.260852
"Fu, Hung-Lin",1,10,0,0.260852
"Fujiwara, Yuichiro",1,10,0,0.260852
"Furino, Steven C.",2,10,0,0.26218
"Gallant, Robert P.",1,10,0,0.260852
"Galli Erickson, Doreen L.",1,10,0,0.260852
"Ge, Gen Nian",1,10,0,0.260852
"Gibbons, Peter B.",3,10,0,0.263065
"Gionfriddo, Lucia",1,10,0,0.260852
"Gitler, Isidoro",1,10,0,0.260852
"Glover, Fred W.",2,10,0.000042,0.273225
"Grannell, Mike J.",3,10,0,0.263246
"Greig, Malcolm",2,10,0,0.261752
"Griggs, Terry S.",3,10,0,0.263246
"Gupta, Manish Kumar",1,10,0,0.260852
"Hamm, Rose C.",2,10,0,0.261752
"Harms, Daryl D.",1,10,0,0.260852
"Harms, Janelle J.",2,10,0,0.261752
"Heinrich, Katherine",7,10,0.000158,0.278034
"Horsley, Daniel",1,10,0,0.260852
"Hoskins, Dean S.",1,10,0,0.260852
"Hui, Kin-Ping",1,10,0,0.260852
"Huybrechts, Cecile",1,10,0,0.260852
"Ivanov, Andrei Vladimirovich",1,10,0,0.260852
"Ives, Lee A.",1,10,0,0.260852
"Jiang, Jing",1,10,0,0.260852
"Jiang, Zhike",1,10,0,0.260852
"Johnson, Kylan N.",1,10,0,0.260852
"Jungnickel, Dieter",4,10,0.000001,0.26418
"Kaski, Petteri",1,10,0,0.260852
"Keil, J. Mark",2,10,0.000027,0.262706
"Keranen, Melissa S.",1,10,0,0.260852
"Keri, Gerzson",1,10,0,0.260852
"Kiefer, Jeffrey",1,10,0,0.260852
"Klarner, David A.",3,10,0.000026,0.261924
"Klove, Torleiv",1,10,0,0.260852
"Kocay, William L.",3,10,0.000015,0.263282
"Konjevod, Goran",2,10,0.000019,0.26435
"Kraetzl, Miro",2,10,0.000048,0.2619
"Kramer, Earl S.",6,10,0.000016,0.265916
"Kuhn, D. Richard",1,10,0,0.260852
"Kulahci, Murat",1,10,0,0.260852
"Kumar, Sudhir",1,10,0,0.260852
"Kuo, Fei-Ching",1,10,0,0.260852
"Lamken, Esther R.",4,10,0.000019,0.267328
"Lee, Preston",1,10,0,0.260852
"Leung, Hareton Kam Nang",1,10,0,0.260852
"Li, Qingyang",1,10,0,0.260852
"Lindner, Charles Curtis",7,10,0.000016,0.26813
"Linek, Vaclav",1,10,0,0.260852
"Litvak, Eugene I.",1,10,0,0.260852
"Lloyd, Errol Lynn",1,10,0,0.260852
"Lobb, Jason R.",1,10,0,0.260852
"Lomonosov, Mikhail Vasilevich",1,10,0,0.260852
"Lu, Hui-Chuan",1,10,0,0.260852
"Luo, Jie^1",1,10,0,0.260852
"Lutz, Jonathan",1,10,0,0.260852
"MacAulay, James B.",1,10,0,0.260852
"Magliveras, Spyros S.",2,10,0,0.261396
"Maier, Martin",1,10,0,0.260852
"Manson, Karen E.",1,10,0,0.260852
"Martirosyan, Sosina S.",1,10,0,0.260852
"Mathon, Rudolf A.",5,10,0.000002,0.265238
"McClary, Daniel W.",1,10,0,0.260852
"McGarry, Michael P.",1,10,0,0.260852
"McLean, Christopher",1,10,0,0.260852
"McSorley, John P.",3,10,0.000026,0.263824
"Mendelsohn, Eric",7,10,0.00009,0.269276
"Montgomery, Douglas C.",1,10,0,0.260852
"Mousses, Spyro",1,10,0,0.260852
"Mugridge, Warwick B.",1,10,0,0.260852
"Mullen, Gary L.",4,10,0.00006,0.264417
"Munoz, Xavier",2,4,0.000036,0.263806
"Myrvold, Wendy J.",4,10,0.000041,0.267384
"Nayeri, Peyman",1,10,0,0.260852
"Nel, Louis Daniel^2",1,10,0,0.260852
"Neufeld, Eric M.",1,10,0,0.260852
"Neufeld, Eugene T.",1,10,0,0.260852
"Nie, Changhai",1,10,0,0.260852
"Niu, Xintao",1,10,0,0.260852
"Nonay, Gillian M.",1,10,0,0.260852
"Nowakowski, Richard Joseph",8,3,0.000261,0.282529
"Oravas, Monica A.",1,10,0,0.260852
"Pachl, Jan K.",2,4,0.000036,0.263806
"Peachey, Judith B.",1,10,0,0.260852
"Pike, David A.",2,10,0.000004,0.263035
"Pottonen, Olli",2,10,0,0.261782
"Preece, Donald A.",2,10,0.000035,0.265347
"Proskurowski, Andrzej",3,10,0.00012,0.268074
"Provan, J. Scott",1,10,0,0.260852
"Qi, Guanqiu",1,10,0,0.260852
"Ramanathan (Ramesh), Aparna",1,10,0,0.260852
"Ramkumar, Suresh",1,10,0,0.260852
"Reisslein, Martin",1,10,0,0.260852
"Riccio, Laura P.",1,10,0,0.260852
